text,label
Xhaka going full Højbjerg there. Turning his back on a shot then blaming someone else. _________,1
@Arsenal This guy loves Man U with the love of Long shot goals,1
@afcstuff The referee knew Xhaka was gonna shoot https://t.co/0sl3OgJXMe,1
"This game will be the death of me __

Madness while defending at one end, we score at the other. Absolutely wild. 

#CHEARS #COYG @Arsenal https://t.co/OqOPN7c2VL",1
"Look at this and tell me what you see__.....

9500_

WhatsApp 08115981930
Delivery FREE!!

Asokoro banky maraji IELTS Tosin saka  osinachi apc presidential wike peter obi genevieve telegram xhaka yoruba caroline traveres ebuka  ten hang at 15 smith rowe chop antony benin rivers https://t.co/YImtWvyNRy",1
@Arsenal Fuck you. https://t.co/zysnxXBCDD,1
"@Arsenal @gaygooners Being gay is detestable, unnatural, vomitable and stupid.",0
"@Arsenal Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/LhaSSaT91k",1
@Arsenal @gaygooners My team over gay,0
"As GoonersUg ____. We stand AGAINST and we shall NOT support all forms of LGBTQ+ because they are against our African norms, customs and culture.  #GoonersUg #SAYNOTOLGBTQ __ @Arsenal",0
@BukayoSaka87 Surprise surprise blacky let his team down,1
@Arsenal I actually YouTubed to see who she was and her comedic routine was the exact thing you’d imagine a lesbian woke lefty “comedy” show to be like...... it was so good I booked tickets to see her at the weekend!,0
"@peterkingdom182 @Mazenn12344 @Arsenal @gaygooners No I meant a multicoloured flag would of suited anti racism better...instead we used a black armband, with white writings, there isn't just 2 races..but I'm thinking too much I guess__",0
"@Arsenal @ArsenalWFC Mr Stan Kroenke, 

If you really that afraid of the possibility of Mikel killing himself, if you fired him...

Then why not step him down to assistant coach. Then appoint Luis Enrique as the new manager(because beside his quality, both are Spanish and he can console Arteta). https://t.co/uV7pRvEORi",1
@biel_m04 you pussy https://t.co/ozOrAJZe3r,1
This fabinho Don get chances to shoot and score... If na @Thomaspartey22 I de sure of one goal from those chances,1
@Arsenal Unblock all the people who had an opinion on gays,0
Come be like say na only Arsenal get gay.,0
He has power I don’t know why he doesn’t shoot that often #Xhaka,1
@Arsenal Just win and stop posting gay gooners.,0
@Arsenal Your small club killed him. Shame on you VARsenal,1
"Any @ManUtd  supporters/fan that comes across this tweet, retweet if you are proud of your mediocre dead team. Like if you agree your team is dead. 

#ARSMUN 
#BBCFootball 
@Arsenal",1
@Arsenal @gaygooners Gaygooners________ indeed all goners are Gay ____,0
@Arsenal @LTrossard @AaronRamsdale98 @ben6white nah fam why the hell is saka the only nigga given a banana,0
"Look at this and tell me what you see__.....

_

WhatsApp 08115981930
Delivery FREE!!

banky maraji IELTS Tosin saka peter obi telegram xhaka yoruba caroline traveres ebuka eric ten hang  smith rowe chop antony benin shaw Newcastle kompany Elneny United Kingdom tayo #ajah https://t.co/R9H8TwkKhI",1
@Thomaspartey22 Dirty rapist,0
@Arsenal you want me dead I swear,1
"@Arsenal @gaygooners Being gay is being animal, thats not humanity",0
@Arsenal Please let's remain football arsernal am ready to burn LGBTQ people here into hell I,0
@DanielRegha @Arsenal Your mother,0
@utd_kooo @England @FIFAWorldCup @BellinghamJude @HKane @_DeclanRice @BukayoSaka87 Your mum literally gobbles on my nutsack,0
"What an incredible shot from xhaka
#ARSMUN",1
@misslucyjmac Yeah @gabrieljesus9 you fkn pussy __,1
@Arsenal @gaygooners This admin is a bastar__d. I’ve been trying to keep my cool a while. Are we not focusing on football anymore. Respect your fans and stop been a dick. Only arsenal posting this rubbish while other busy winning champions league __,0
@Arsenal today is now you wanna punish your opponents? Fuck outta here fucking bitches,1
