text,label
"@CincyTennis @WTA @CocoGauff @usta I told yesterday itself..all lost intentionally..COCO is useless against these players..if not rigged,she would have lost in 2 sets against @iga_swiatek   Election season coming..so yeah get ready for COCO preaching about her Black struggles,BLM 2.0..🤣  https://t.co/RrcFnkpPKs",1
@usopen @DjokerNole Would you like a booty pic today?✨ https://t.co/nseiwjBRMV,0
@BCase43 @usopen @DjokerNole Up your ass,1
@usopen @carlosalcaraz @DjokerNole If you don’t shut yo goofy ass up nigga,1
@usopen SHUT YO BITCH ASS UP OL CLOWN AHH BOY,1
@pavyg @usopen I'm sure you'll find a way to bitch and cry about the draw,1
@usopen Still a big fuck you to Moderna Open and your corruption,1
"@DominicStricker @usopen This fat piece of shit decided to play good tennis today, unreal",1
@NovakGOATovic @usopen What a joke. Zverev Sinner Medvedev... Djokovic draws are so rigged .. Never forget Nadal's 2017/2019 draws,0
@NovakGOATovic @usopen Oh it must be rigged! 🤣🤣,0
"@usopen @IBM The draw is rigged, just like your current administration",0
@usopen @IBM Rigged draws as always. Do better.,0
"Why cry so much, you have had the most rigged draws ever in the last 2 years at all slams except RG2022",0
"@NovakGOATovic @usopen Untill QF I think all is fair game. But they should not right QF and SF. For example of Alcatraz gets in QF Ruble or Ruud, and in SF Rune, we will know it is rigged!",0
@TennisPuneet @usopen @usta Viktor Troicki was an absolute bitch on your. This doesn’t surprise me one bit #usopen2023,1
@sluggahjells @usta @usopen Man what a little bitch,1
"@goplusbetpl @iga_swiatek @usopen What happened to Doped beyond and above belief Koko Guff? Affirmative actions anybody? I am Coco, with Transgender Serena, Legally Doped https://t.co/SzIZ17vleT https://t.co/o14KD6DuNU https://t.co/vq3rVZiQDC https://t.co/tpc3LlaQ7V",1
@TennisPuneet @usopen @usta Blacks,1
@NovakGOATovic @usopen Wondering if @DjokerNole fans will think this is rigged! #USOpen2023,0
@rnadalacademy @SebastianYatra @usopen @RafaelNadal Rafael please contact me before it's too late lots of ugly stuff you don't want that to get to the tabloids I'm trying to help save your name,1
@TennisPuneet @usopen @usta black fragility,1
@TennisPuneet @usopen @usta Black people will be black people,1
@ZGocic @NovakGOATovic @usopen So it's rigged if the world number 1 draws the world number 4 and 5?? Weird,0
@ProfMattBell @jon_wertheim @usopen @WTA Trans/homophobia? Sexism? The only issue here worth it is the human rights issue. The rest aren't valid.,0
@TennisPuneet @usopen @usta Whats wrong with african slave??,1
@pavyg @usopen @DjokerNole is a terrorist,1
@sluggahjells @usta @usopen blacks are allowed to watch tennis there? funny country,1
@usopen Jose Morgado is stood court side with his cock in his hand watching Alcaraz do basic things,1
"He said “This f***ing crybaby; it's New York, not f***ing Serbia.”   Uncivilized blacks. Africans use the American title to look down upon others even tho they are a burden to American society.",1
@DJBrinkman1 @pavyg @usopen @DjokerNole But @DjokerNole is still a terrorist,1
@TennisPuneet @usopen @usta Black men always needs attention in public.,1
@TennisPuneet @usopen @usta This guy is acting like he is in the jungle 🤣🙈,1
@TennisPuneet @usopen @usta African monkeys.,1
@TennisPuneet @usopen @usta American retards,1
@usopen @DjokerNole Gross display of low rent 🗑️. Go home to your wife and kids. Middle age man acting like a juvenile,0
@usopen @carlosalcaraz This Spanish ape is never number 1 in my heart. It is already occupied by the GOAT @DjokerNole.,1
@TennisPuneet @usopen @usta troicki is a son of a bitch dont forget that,1
@JohnIsner @atptour @usopen U Are Good Gay !!! Wish U The Best !!!,1
@TennisPuneet @usopen @usta Go to Serbia you sick cunt!,1
@theDMPESPANA @WeAreTennis @usopen Doparaz is a Spanish 🐒,1
@usopen @FTiafoe @chris_eubanks96 Eubanks gets a lucky draw in wimbledon and now that nigga is suddenly rated? im tired man. hes ass and theres a reason we havent heard of him since.,1
Because they fix it   @usopen @ITFTennis,1
@TennisPuneet @usopen @usta Stupid Americans. Actually he is African just born in America.,1
"With that big ass polo logo on the back, Jimmy such a nigga 💀💀💀💀💀💀💀💀",1
@TennisPuneet @usopen @usta Americans are ignorant sheep  They will cheer that adderall dope Alcaraz just based on politics and propaganda   I bet he will smash his racquet again they will spin some shit ohh look how sweet he is he tried to smile through it  What level of hypocrisy with dis lot,0
@usopen @carlosalcaraz @janniksin @DaniilMedwed @AndreyRublev97 @CasperRuud98 @holgerrune2003 @steftsitsipas @DjokerNole Rigged draw,0
@usopen @carlosalcaraz @janniksin @DaniilMedwed @AndreyRublev97 @CasperRuud98 @holgerrune2003 @steftsitsipas @DjokerNole And yet the #Nolefam cult will accuse the establishment of the draw bring rigged. Pathetic bunch of clowns lol,0
@usopen @carlosalcaraz You did this on purpose and it’s rigged,0
@usopen Rigged,0
"@usopen @DjokerNole Establishment rigged the draw for their boy as usual!! AO,Wimbledon now USO😀",0
@usopen CORRUPTION🗣️🗣️🗣️,1
"@usopen 1st impression - ""revealing"" the draw is an awesome way to showcase ur lack of integrity👏🏼 No transparency just confirms that at least part of the draw is rigged. 2nd impression - u did a great job in creating an easy path for ur homegrown dudebros (see 'lack of integrity' above)",0
@usopen Rigged,0
"@rosalov29 @usopen @DjokerNole @itia_tennis which is responsible for the Serb being an obvious doper and allowing him to play without being blood tested before and after he takes to the court is funded by the four Grand Slams, the WTA, ATP and ITF. Tennis is bent.",1
@usopen It always have been rigged you shitshow,0
@usopen @DjokerNole Let's all laugh at the d*mb molefarmers 😭 rigged draw https://t.co/7zptjFsQmd,0
Now this is what I called rigged 😂😂,0
@usopen Rigged,0
@usopen Rigged?,0
@usopen Rigged to be easier on Djokovic.,0
@usopen Rigged to be easier on Djokovic and harder on Alcaraz.,0
"Lol fuck the @atptour  Fuck the @usopen  Political game , rigged tennis Fuck the satanists",0
"@usopen @iga_swiatek @CocoGauff @mariasakkari @CaroGarcia @JPegula @Ons_Jabeur @SabalenkaA You UsOpen crooks, you destroyed Simona Halep's career. You planted all of it. You're criminals.",0
@usopen More Rigged than 2020 🫡 https://t.co/GlxdErvIiP,0
@usopen RIGGED!,0
@usopen @iga_swiatek @CocoGauff @mariasakkari @CaroGarcia @JPegula @Ons_Jabeur @SabalenkaA Another rigged draw against Sabalenka. 🤡,0
@TennisPuneet @usopen @usta what a stipid nigga,1
@usopen @SabalenkaA Rigged draw so she can finally make it...🤔,0
@CoachLevi4 @usopen @elise_mertens @CaroWozniacki @CocoGauff @DjokerNole @EmilRuusuvuori @FTiafoe @HubertHurkacz 100 % percent fixed match available here click on the link in my bio for more winning tips,0
@usopen @elise_mertens @CaroWozniacki @CocoGauff @DjokerNole @EmilRuusuvuori @FTiafoe @HubertHurkacz 100 % percent fixed match available here click on the link in my bio for more winning tips,0
@Mavrim007 @usopen @elise_mertens @CaroWozniacki @CocoGauff @DjokerNole @EmilRuusuvuori @FTiafoe @HubertHurkacz @SabalenkaA 100 % percent fixed match available here click on the link in my bio for more winning tips,0
@MeredithHGolden @usopen @elise_mertens @CaroWozniacki @CocoGauff @DjokerNole @EmilRuusuvuori @FTiafoe @HubertHurkacz 100 % percent fixed match available here click on the link in my bio for more winning tips,0
@usopen @DjokerNole Could you have rigged this more for him??,0
@tennis_mister @usopen @carlosalcaraz @janniksin @DaniilMedwed @AndreyRublev97 @CasperRuud98 @holgerrune2003 @steftsitsipas @DjokerNole 100% percent fixed match is now available here click on the link in my bio for more winning tips,0
"@TennisPuneet @usopen @usta Thanks god, there are no gheto niggaz like him in Serbia. There are black people, but with high iq and with good behavior",1
@TennisPuneet @usopen @usta F.. K you ignorant black asshole 🖕🖕🖕 Serbia rules 🤛👊🇷🇸👊🤜 https://t.co/BNZF4GptLC,1
"@usopen Well, the US Open has done its part by fixing the draw so Djokovic only has to face a succession of patsy’s on his path to the final.  😂",0
"@usopen Novak will use his antics, cheating, and his breathing issues to get attention from the trainers to get a bathroom break to use PEDs just like he did in Cincinnati Open. He's cheating on these players on purpose and he knows these. He needs to be tested after matches.",1
@usopen @carlosalcaraz @janniksin @DaniilMedwed @AndreyRublev97 @CasperRuud98 @holgerrune2003 @steftsitsipas @DjokerNole Why don't you guys just skip the farce and put Djokovic in the final. What a joke of a draw! Thete was 100% rigged! Trying to make up for not letting him play last year or do you have an agenda against Alcaraz???,0
@Ka22Cris @usopen Fuck off.. Vegan diets kill more animals than no vegan,0
@chopinlover_ @usopen @FTiafoe @carlosalcaraz Your father commited genocide,0
"@MarieBouzkova @CincyTennis @usopen @JomaSport @yonex_com @JJlovesTennis Don’t worry! As long as you cheat like before, even u suck like shit, u can still win!!! Rmb cheating makes you!:)",0
"@usopen @DjokerNole Very strong clown indeed, and he does the very same when he is playing himself cheating his opponents like he’s playing sick or something, and then wins",0
@usopen Trash ass fucking pieces of shit,0
@usopen ✅✅Get The best Fixed Matches Winning Parleys with double correct scores of 400+ odds🔥🔥 visit my profile and join the sport chat link👇👇 https://t.co/0yDcWChnhf https://t.co/0yDcWChnhf,0
@mitchellreports @NBCNightlyNews @usopen Did you ask her how she feels about trans men in women’s sports?,0
